method,scramble,solve,time,memconsum
1,25,252,5.701,853953970
1,25,252,5.701,853953970
1,25,266,6.3,889164026
1,25,252,5.701,853953970
1,25,266,6.3,889164026
1,25,234,5.285,872003686
1,27,247,5.692,875347106
1,27,247,5.692,875347106
1,25,243,5.495,878842881
1,27,247,5.692,875347106
1,25,243,5.495,878842881
1,25,216,5.078,901249252
1,26,255,5.693,899508657
1,26,255,5.693,899508657
1,25,260,6.1,874174157
1,26,255,5.693,899508657
1,25,260,6.1,874174157
1,25,253,5.701,892834495
1,26,177,4.274,874912322
1,26,177,4.274,874912322
1,25,207,4.875,891113208
1,26,177,4.274,874912322
1,25,207,4.875,891113208
1,25,186,4.487,916684631
1,27,220,5.078,874614456
1,27,220,5.078,874614456
1,25,213,5.083,877646349
1,27,220,5.078,874614456
1,25,213,5.083,877646349
1,25,282,6.305,872823351
1,27,184,4.26,872295881
1,27,184,4.26,872295881
1,25,258,5.895,869885323
1,27,184,4.26,872295881
1,25,258,5.895,869885323
1,25,262,5.895,919955230
1,27,224,5.087,883762111
1,27,224,5.087,883762111
1,25,213,4.879,859316283
1,27,224,5.087,883762111
1,25,213,4.879,859316283
1,25,220,5.073,867519647
1,27,240,5.499,864100589
1,27,240,5.499,864100589
1,25,252,5.895,891610225
1,27,240,5.499,864100589
1,25,252,5.895,891610225
1,25,229,5.277,894636848
1,26,252,5.885,870955259
1,26,252,5.885,870955259
1,25,212,5.067,902457280
2,15,15,80.069,1737260113
2,101,17,23339.508,1558674946
2,101,17,32354.242,894789628
2,2,2,0.0,1342288648
2,3,3,0.0,1361364880
2,4,4,0.001,1445758720
2,5,5,0.001,1255822272
2,6,6,0.003,1136909516
2,7,7,0.002,1677169400
2,8,8,0.001,1147851696
2,9,9,0.002,1704026056
2,10,10,0.005,1338312653
2,11,11,0.004,1908083210
2,12,12,0.213,1239618300
2,13,13,1.252,1863255800
2,14,14,20.529,1254594772
2,15,13,1.719,1709416770
2,2,1,0.911,1115870984
2,3,2,0.555,1232858576
2,4,3,0.512,1308841272
2,5,4,0.64,1509385968
2,6,5,0.503,2062344712
2,7,6,0.611,1745153744
2,8,7,0.49,1975337120
2,9,8,0.589,1112375816
2,10,9,0.522,1281224488
2,11,10,0.596,1491508264
2,12,11,0.532,2115724730
2,13,12,0.719,1712938646
2,14,13,2.152,1244981066
2,15,14,4.625,2048023080
2,16,15,25.03,1529272952
2,17,16,2710.377,1554819938
