method,scramble,solve,time,memconsum
1,100,283,6.207,603703615
1,100,253,5.808,605992759
1,100,215,5.006,607519223
1,100,161,4.005,606390398
1,100,170,4.204,602316901
1,100,241,5.407,606456962
1,100,280,6.41,603334885
1,100,200,4.807,600860090
1,100,202,4.807,599917534
1,100,226,5.209,599336252
1,100,189,4.406,598990669
1,100,248,5.609,600661962
1,100,235,5.409,599157639
1,100,208,4.811,599795079
1,100,199,4.606,597519466
1,100,223,5.008,595608085
1,100,218,5.207,596102313
1,100,272,6.01,594245515
1,100,270,6.011,595308383
1,100,260,5.811,591976769
1,100,262,6.01,592341952
1,100,217,5.006,593725435
1,100,276,6.012,592921822
1,100,243,5.611,592784794
1,100,255,5.815,593445496
1,100,214,4.812,591113332
1,100,212,5.006,592637709
1,100,192,4.406,591362341
1,100,212,5.005,592530786
1,100,308,6.809,591850282
1,100,240,5.609,592800054
1,100,235,5.407,592523135
1,100,273,6.209,593450379
1,100,190,4.406,591480570
1,100,214,4.805,592925585
1,100,221,5.207,592414677
1,100,225,5.207,592371402
1,100,200,4.606,592233003
1,100,207,4.807,592614491
1,100,236,5.405,591570653
1,100,259,6.009,592832692
1,100,239,5.408,591709814
1,100,249,5.607,592508038
1,100,212,4.807,592101725
1,100,225,5.009,592550937
1,100,212,4.809,592726385
1,100,174,4.207,593241635
1,100,216,4.81,592716968
1,100,206,4.61,592547684
1,100,244,5.209,592535943
1,1,187,4.41,1122731264
1,2,33,1.202,1171502598
1,3,215,5.008,1107981772
1,4,186,4.407,1158312905
1,5,152,3.408,1218816901
1,6,206,4.809,1195985425
1,7,178,4.208,1137437471
1,8,228,5.208,1207469095
1,9,247,5.611,1165213605
1,10,184,4.412,1164247428
1,11,259,5.812,1242647129
1,12,198,4.804,1314737513
1,13,269,6.013,1124429984
1,14,241,5.406,1221732318
1,15,210,4.808,1311035712
1,16,257,5.808,1126709267
1,17,223,5.41,1211128796
1,18,189,4.41,1298476414
1,19,205,4.808,1384549667
1,20,245,5.807,1158988709
1,21,239,5.607,1205976473
1,22,224,5.408,1305888242
1,23,187,4.408,1398552052
1,24,268,6.211,1122604039
1,25,230,5.409,1240904077
1,26,255,5.81,1360823814
1,27,271,6.013,1415950588
1,28,259,6.012,1152726794
1,29,247,5.613,1275036358
1,30,221,5.007,1384393439
1,31,235,5.409,1388395117
1,32,238,5.608,1168649155
1,33,206,4.808,1280503596
1,34,226,5.211,1390602550
1,35,225,5.21,1301520908
1,36,191,4.607,1184662267
1,37,216,5.009,1298409909
1,38,206,4.808,1406556305
1,39,249,5.81,1156341622
1,40,244,5.609,1244342456
1,41,234,5.411,1370501919
1,42,236,5.611,1197803047
1,43,195,4.61,1217828148
1,44,277,6.213,1337877082
1,45,226,5.208,1187184028
1,46,212,5.009,1220309041
1,47,171,4.006,1332699941
1,48,269,6.009,1247372006
1,49,281,6.419,1225434849
1,50,215,5.008,1346313285
2,100,32,7.234,1781288576
2,100,33,1.876,2195859768
2,100,34,2.971,1818892492
2,100,34,1.24,1529618302
2,100,33,26.751,1750141152
2,100,37,97.759,1827164804
2,100,29,1.82,1817361312
2,100,33,2.221,1440457056
2,100,34,12.82,1868448742
2,100,29,3.009,1793562824
2,100,33,2.966,2211581708
2,100,32,1.09,1357057936
2,100,31,1.24,1801880558
2,100,36,1.487,1476974936
2,100,34,1.281,1501997162
2,100,33,9.833,1756031776
2,100,33,4.966,1434798550
2,100,36,16.545,1760719106
2,100,34,7.442,1880698014
2,100,32,2.224,1932885670
2,100,30,16.677,2049657868
2,100,33,2.136,1385673318
2,100,26,1.033,1850965096
2,100,33,1.328,1796109690
2,100,33,1.177,1810531194
2,100,28,1.597,1936186540
2,100,32,14.515,1598356632
2,100,32,1.27,1431657094
2,100,32,1.874,1862581186
2,100,34,1.265,2155258188
2,100,33,1.924,1945917220
2,100,33,1.191,1209736064
2,100,38,97.45,1832604406
2,100,34,28.778,2160695856
2,100,31,1.179,2012602840
2,100,36,26.206,1899815466
2,100,29,1.106,1475966674
2,100,36,268.862,1225339098
2,100,29,1.017,1395514702
2,100,36,1.315,1711141020
2,100,34,14.732,1504792518
2,100,31,1.07,1296321600
2,100,29,1.337,1455423142
2,100,12,4.893,2084940804
2,100,33,14.225,1750208310
2,100,31,1.404,1884245038
2,100,35,6.367,1991838254
